POINTS TO NOTE,,,,,,,
1. This is a tentative schedule. ,,,,,,,
2. All updates will be made in GOOGLE CALENDAR. Please check and reply to the event invitations. ,,,,,,,
3. The chairperson/ convenor should send invitation to members by themselves. ,,,,,,,
4. The commencement week will be held from 1 Sep to 7 Sep.,,,,,,,
,,,,,,,
Date,Time,,"Venue (Subject to change, please refer to Google Calendar)",Meeting,Chairperson/ Convenor ,Attendees,Special Arrangement / Leave
26/08,10:30,11:00,Hall,Briefing on P1 and New Comers Orientation Day ,LMYm,"NSY, CKYk, CMC, AYJ, LCH, MTM, CKS, WXX, NSCa, WSM, NSF, CSYs, YHW, CTt, KCM, LCYg, LWM, LWSs, NKY, MLa, TNC, CKLp, LSY, LKN, TCY, WSF, WKY, CWY, CCY, CKY, LTH, CYW, CSP, KM, CCK, KS, HCM, CWY, KK, CYT, LCYf, LWY,  Yuki, Toby, Carol, Ling, Sam, Yannick, Polly, Sammy, Bowen",
26/08,11:00,12:30,603,Team C Meeting- Character Building (Informal Curriculum and Experiences),NSY,"CMC, NSF, LSs, TCY, TYM, YTC, Yannick",
26/08,14:00,14:45,601,P.2 Class Teacher Meeting(25/26+26/27),"MTM, CYT","LMYm, Sammy, Bowen, Polly, 25/26 G&D Level Co, 25/26 CT, 26/27 CT",
26/08,14:45,15:30,601,P.3 Class Teacher Meeting(25/26+26/27),"MTM, CYT","LMYm, Sammy, Bowen, Polly, 25/26 G&D Level Co, 25/26 CT, 26/27 CT",
26/08,15:30,16:15,601,P.4 Class Teacher Meeting(25/26+26/27),"MTM, CYT","LMYm, Sammy, Bowen, Polly, 25/26 G&D Level Co, 25/26 CT, 26/27 CT",
26/08,16:15,17:00,601,P.5 Class Teacher Meeting(25/26+26/27),"MTM, CYT","LMYm, Sammy, Bowen, Polly, 25/26 G&D Level Co, 25/26 CT, 26/27 CT",
27/08,07:30,12:30,Hall/ P1 Classrooms,P1 & New Student Orientation Day,LMYm,"NSY, CKYk, CMC, AYJ, LCH, MTM, CKS, WXX, NSCa, WSM, NSF, CSYs, YHW, CTt, KCM, LCYg, LWM, LWSs, NKY, MLa, TNC, CKLp, LSY, LKN, TCY, WSF, WKY, CWY, CCY, CKY, LTH, CYW, CSP, KM, CCK, KS, HCM, CWY, KK, CYT, LCYf, LWY  Yuki, Toby, Carol, Ling, Sam, Yannick, Polly, Sammy, Bowen",
27/08,14:00,14:30,G02,Briefing of Teacher Assistants,NSY,All TAs,
27/08,14:00,14:30,601,CB Meeting (P.2),NSF,P.2 CTs,
27/08,14:30,15:00,601,CB Meeting (P.3),NSF,P.3 CTs & DCTs,
27/08,15:00,15:30,601,CB Meeting (P.6),NSF,P.6 CTs & DCTs,
27/08,15:30,17:00,602,Team C Meeting- Student Wellbeing and Inclusive Education,LMYm,"CMC, NSY, CYW, CKYk, Sammy, Bowen, Toby, Yuki Li, Carol",
27/08,15:30,16:00,601,CB Meeting (P.1),NSF,P.1 CTs,
27/08,16:00,16:30,601,CB Meeting (P.5),NSF,P.5 CTs & DCTs,
27/08,16:30,17:00,601,CB Meeting (P.4),NSF,P.4 CTs & DCTs,
28/08,09:00,10:00,601,P1 Chinese Level Meeting,YHW,"LSY, NSCa, KK, LWM, CKLp",
28/08,09:00,10:00,602,P2 Chinese Level Meeting,YKY,"LHH, JGY, WTL, LYY, SL",
28/08,09:00,10:00,504,P1 English Level Meeting,MLa,"NSF, CTt, LCYg, NKY",
28/08,09:00,10:00,401,P1 Maths Level Meeting,WSM,"LYP, CSYs, KCM, TNC",
28/08,09:00,10:00,402,P2 Maths Level Meeting,CCK,"YCK, WKCc, CHY",
28/08,09:00,10:30,604,Team C Meeting- Referral Procedure,NSY,"MTM, CYT, CMC, LMYm, CKYk, Sammy, Bowen",
28/08,10:00,11:00,601,P3 Chinese Level Meeting,WXX,"NCK, WYYj, HCM, WTL, KK",
28/08,10:00,11:00,501,P2 English Level Meeting,KM,"YLK, LL, LSs, VSM",
28/08,10:00,11:00,502,P3 English Level Meeting,TCY,"LWS, TYM, CWY, VRL",
28/08,10:00,11:00,403,P3 Maths Level Meeting,TWY,"LTY, LCYf, WKCc, TNC",
28/08,10:30,12:00,505,Subject Meeting- ICT,LCH,All ICT teachers,
28/08,11:00,12:00,601,P4 Chinese Level Meeting,WYYj,"WXX, LKN, LHH, NSCa",
28/08,11:00,12:00,602,P5 Chinese Level Meeting,LWM,"LSY, CKLp, YHW, JGY",
28/08,11:00,12:00,603,P6 Chinese Level Meeting,LYY,"YKY, SL, NCK, CKS",
28/08,11:00,12:00,501,P4 English Level Meeting,TYM,"LSs, LL, NKY, CTt",
28/08,11:00,12:00,502,P5 English Level Meeting,LWS,"VRL, TCY, NSF, CWY, NSY",
28/08,11:00,12:00,503,P6 English Level Meeting,YLK,"LCYg, MLa, VSM, LMYm",
28/08,11:00,12:00,401,P4 Maths Level Meeting,LYP,"TWY, LWSs, CSYs, YCK",
28/08,11:00,12:00,402,P5 Maths Level Meeting,CHY,"CHYh, WSM, LCYf, LTY",
28/08,12:00,13:00,403,P6 Maths Level Meeting,CHYh,"LTY, KCM, LYP, CCK",
28/08,14:00,15:00,Hall,Class Climate Building Workshop,MTM,All class teachers,
28/08,15:00,16:30,602,Innospark Explorer- Level COs,"CKS, LCH","NSCa, CSYs, TNC, YCK, LL, VSM, WKY, TWY, CKYk, KCM, WSF, CTt, CKLp, LWY, LCYf, LTY, LYP, CCK",
29/08,08:00,11:30,Classrooms,"Parents' Zoom Meetup 8:30 a.m. – 9:30 a.m.  (P.1- P.3) 
Parents' Zoom Meetup 9:45 a.m. - 10:45 a.m. (P.4 - P.6)",CMC,All teachers,
29/08,11:00,12:00,Hall,Alumni AGM,SL,All SLT members,
31/08,09:30,10:30,G02,Probationary Appraisal Briefing for New Teachers,Vikki ,New teachers,
31/08,10:30,11:30,G01,Seminar of Anti-discrimination Law for New Teachers & TAs,Vikki ,"New teachers, Sam, Yuki Xu, Carol",
31/08,11:30,12:30,G01,Understanding and Preventing Sexual Harassment in School for New Teachers & TAs,Vikki ,"New teachers, Sam, Yuki Xu, Carol",
01/09,12:00,13:30,Hall,PTA Appreciation Lunch,SL,All staff,
01/09,13:45,16:00,601,Reach Higher PD,VRL,All English teachers,
10/09,TBC,TBC,Hall & Classrooms,ECA Taster Day,CMC,"HKF, MTM, LTH, CCY, CKY",
Sept,,,,Team C Meeting- Discussion on Parent Education,NSY,"CMC, LKY, Polly, Sammy, Bowen",
Sept,,,G01,ICAC Talk for New Teachers & TAs (TBC),Vikki ,"New teachers, Sam, Yuki Xu, Carol",
Sept,,,Hall,Briefing of Medical Insurance (TBC),Vikki,All staffs,
Nov,,,,Procurement Workshop,Vikki,All MMC members,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
